control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
untrained,unseen_seastate,untrained,persistence,heave,30,3.0,0.5242464373376657,0.0,0.5242464373376657,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,50,5.0,0.6985457499822663,0.0,0.6985457499822663,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,100,10.0,0.16152736189543238,0.0,0.16152736189543238,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave,150,15.0,0.39426926404011364,0.0,0.39426926404011364,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll_rate,10,1.0,-2.49375625072686,0.0,-2.49375625072686,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll_rate,20,2.0,-0.1257084407371689,0.0,-0.1257084407371689,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll_rate,30,3.0,0.09048354735403152,0.0,0.09048354735403152,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll_rate,50,5.0,0.6628846883088643,0.0,0.6628846883088643,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,roll_rate,100,10.0,-0.19433584017800798,0.0,-0.19433584017800798,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,roll_rate,150,15.0,0.44928525729492863,0.0,0.44928525729492863,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,10,1.0,-0.2747566433886195,0.0,-0.2747566433886195,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,pitch_rate,20,2.0,0.19639406426688344,0.0,0.19639406426688344,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,30,3.0,0.5797789653682822,0.0,0.5797789653682822,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,50,5.0,0.08327284082619169,0.0,0.08327284082619169,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,100,10.0,0.11533898806401566,0.0,0.11533898806401566,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,pitch_rate,150,15.0,0.24556864055709915,0.0,0.24556864055709915,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,10,1.0,-1.6368069322469192,0.0,-1.6368069322469192,0.0,True,False,True
untrained,unseen_seastate,untrained,persistence,heave_rate,20,2.0,0.22977302095059504,0.0,0.22977302095059504,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,30,3.0,0.36881388098815093,0.0,0.36881388098815093,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,50,5.0,0.7489379423875308,0.0,0.7489379423875308,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,100,10.0,0.10906438578820987,0.0,0.10906438578820987,0.0,True,False,False
untrained,unseen_seastate,untrained,persistence,heave_rate,150,15.0,0.5517405890277708,0.0,0.5517405890277708,0.0,True,False,False
