experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,phase_lag_s,phase_lag_raw_s,phase_lag_std_s,dominant_period_s,phase_lag_identified,n_realizations_phase,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
deep,persistence,heave,50,5.0,434304,1.4421558821616272,0.9156766417437181,1.4421558821616272,0.0,0.7593097520603712,1.8992985119029056,384,0.0,0.0,id,4.996327452638063,5.0,0.004780599547724217,8.850000000000001,False,32,0,True,0,0.0,,,,
deep,persistence,heave,100,10.0,434304,0.8335183990732865,0.5179159766894691,0.8335183990732865,0.0,0.7591324816869609,1.0979880576589525,384,0.0,0.0,id,9.996908286695277,10.0,0.0033475055076719142,8.875,False,32,0,True,0,0.0,,,,
deep,persistence,heave,150,15.0,434304,1.106452908012778,0.6986179909274478,1.106452908012778,0.0,0.758700750262978,1.4583521996376878,384,0.0,0.0,id,14.996578766789495,15.0,0.003985296070769254,8.875,False,32,0,True,0,0.0,,,,
deep,persistence,roll_rate,10,1.0,434304,1.067513758350997,0.5965094051660409,1.067513758350997,0.0,1.9695482829582032,0.5420094381985006,384,0.0,0.0,id,0.9948457679928431,1.0,0.005427538456281249,9.0,True,32,0,True,0,0.0,,,,
deep,persistence,roll_rate,20,2.0,434304,2.0483978110523133,1.1374346249478606,2.0483978110523133,0.0,1.9698951249631573,1.039851200753961,384,0.0,0.0,id,1.9953473448142383,2.0,0.005306525679228467,9.0,True,32,0,True,0,0.0,,,,
deep,persistence,roll_rate,30,3.0,434304,2.8659956780901075,1.5750691036384887,2.8659956780901075,0.0,1.9702531268505945,1.4546332341932822,384,0.0,0.0,id,2.996205998873834,3.0,0.004450384933927326,9.0,False,32,0,True,0,0.0,,,,
deep,persistence,roll_rate,50,5.0,434304,3.798345550151574,2.0214561569579743,3.798345550151574,0.0,1.9711142946671736,1.927004213011875,384,0.0,0.0,id,4.996194640898507,5.0,0.004245175575399039,9.0,False,32,0,True,0,0.0,,,,
deep,persistence,roll_rate,100,10.0,434304,1.958738621708589,1.0298134587004224,1.958738621708589,0.0,1.972726817260997,0.9929092079906787,384,0.0,0.0,id,9.996466227108384,10.0,0.0035787240683394467,9.0,False,32,0,True,0,0.0,,,,
deep,persistence,roll_rate,150,15.0,434304,2.8980935747304644,1.5736128369706501,2.8980935747304644,0.0,1.9741281062750022,1.4680372390821688,384,0.0,0.0,id,14.995579981460356,15.0,0.0038654878176300205,9.025,False,32,0,True,0,0.0,,,,
deep,persistence,pitch_rate,10,1.0,434304,0.7528444431836472,0.4665377047658137,0.7528444431836472,0.0,0.9236173504276821,0.8151042667561861,384,0.0,0.0,id,0.9974549797119696,1.0,0.002657189743763138,7.199999999999999,True,32,0,True,0,0.0,,,,
