model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,n_params,fit_time_s_mean
ar_attitude_only,id,heave,30,3.0,1,True,434304,0.08392480721580388,,0.05683037562644298,,1.1513183823181896,0.9946863881474076,,0.9940499553918104,0.9952393825584019,108900,0.052615476997743826
ar_attitude_only,id,heave,50,5.0,1,True,434304,0.24227390368807933,,0.16077488743011567,,1.4421558821616272,0.9717779301307914,,0.9688720503601244,0.9745088480875156,108900,0.052615476997743826
ar_attitude_only,id,heave,100,10.0,1,True,434304,0.49981518524567287,,0.335358770053967,,0.8335183990732865,0.6404258094674653,,0.6076182832533598,0.6675350930890743,108900,0.052615476997743826
ar_attitude_only,id,heave,150,15.0,1,True,434304,0.656327399669679,,0.4445116427527497,,1.106452908012778,0.6481357037524604,,0.6240252532495425,0.6698032341746455,108900,0.052615476997743826
ar_attitude_only,id,heave_rate,10,1.0,1,True,434304,0.030685030299045492,,0.02031659837070667,,0.2852226587419099,0.9884259577041419,,0.9874307010257316,0.9894122235061432,108900,0.052615476997743826
ar_attitude_only,id,heave_rate,20,2.0,1,True,434304,0.048291283064141835,,0.032014845783317536,,0.5351982235990471,0.9918584299793014,,0.9910090484256769,0.9926938077271189,108900,0.052615476997743826
ar_attitude_only,id,heave_rate,30,3.0,1,True,434304,0.07742305640540087,,0.05099532207750155,,0.7216245802205107,0.9884888692235025,,0.9872122579277806,0.9896904006980756,108900,0.052615476997743826
ar_attitude_only,id,heave_rate,50,5.0,1,True,434304,0.11227032825945947,,0.07590355580963096,,0.8524864976952896,0.9826557722850807,,0.9808655137081876,0.9841692552764207,108900,0.052615476997743826
ar_attitude_only,id,heave_rate,100,10.0,1,True,434304,0.29137486050721667,,0.2008378937472227,,0.47861232963563727,0.6293735647822993,,0.6116692083381303,0.6456553132049692,108900,0.052615476997743826
ar_attitude_only,id,heave_rate,150,15.0,1,True,434304,0.3980216486942635,,0.27120312309194683,,0.6814233587032514,0.6588233071931073,,0.6347940330052343,0.6807826716287187,108900,0.052615476997743826
ar_attitude_only,id,pitch,10,1.0,1,True,434304,0.02589539654144299,,0.01691879338543151,,0.8963189522817477,0.999165320066633,,0.9990469891568048,0.9992678658606404,108900,0.052615476997743826
ar_attitude_only,id,pitch,20,2.0,1,True,434304,0.1497336796501994,,0.10118487088135274,,1.6396866224861668,0.9916609363679577,,0.9907003673414996,0.9925070000354125,108900,0.052615476997743826
ar_attitude_only,id,pitch,30,3.0,1,True,434304,0.36314791835402543,,0.2517700968981147,,2.1223575061775537,0.9707227666094607,,0.9679345864049551,0.9731565390102987,108900,0.052615476997743826
ar_attitude_only,id,pitch,50,5.0,1,True,434304,0.6124162054926787,,0.42058187333980473,,2.2343246831224586,0.9248721808698693,,0.918808465827707,0.9300658046037935,108900,0.052615476997743826
ar_attitude_only,id,pitch,100,10.0,1,True,434304,1.05533639726118,,0.6923315676074452,,1.5591545468409598,0.5418544186931379,,0.530556020491669,0.5535106009396562,108900,0.052615476997743826
