reading,model,head,regime,dof,horizon_samples,horizon_s,n_seeds,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,band_lo,band_hi,verdict,mean_interval_width_mean,width_ratio_mean,crossing_rate_mean,n_params
B,lstm_gaussian,gaussian,id,pitch,30,3.0,3,0.9557583321053148,0.0063864384636544,0.9443981059350132,0.962498618479222,0.85,0.95,FAIL,0.147202707208066,0.0360451654413177,0.0,433928
B,lstm_gaussian,gaussian,id,pitch,50,5.0,3,0.937506140092347,0.0078847696569787,0.9254298256520778,0.9482518005820808,0.85,0.95,PASS,0.3419958540341971,0.0837357610382016,0.0,433928
B,lstm_gaussian,gaussian,id,pitch,100,10.0,3,0.9171785968660968,0.0032466312552446,0.909998238561008,0.92200877726201,0.85,0.95,PASS,1.2750706095837792,0.3122776707484506,0.0,433928
B,lstm_gaussian,gaussian,id,pitch,150,15.0,3,0.9075524670891052,0.0013903807906815,0.9034915059497496,0.9118402662651046,0.85,0.95,PASS,2.235200624380424,0.547723300357435,0.0,433928
B,lstm_gaussian,gaussian,id,pitch_rate,10,1.0,3,0.9823810050103152,0.0027339115624239,0.9772343796050692,0.9862842041519304,0.85,0.95,FAIL,0.0657664300253537,0.021644867555729,0.0,433928
B,lstm_gaussian,gaussian,id,pitch_rate,20,2.0,3,0.9647435897435898,0.0057535687237427,0.955249894083407,0.9722594081564988,0.85,0.95,FAIL,0.0977544535800845,0.0321685055145701,0.0,433928
B,lstm_gaussian,gaussian,id,pitch_rate,30,3.0,3,0.9430306881815502,0.0245689110136762,0.9058233403330388,0.9622437278956676,0.85,0.95,PASS,0.135979215552523,0.0447409819528249,0.0,433928
B,lstm_gaussian,gaussian,id,pitch_rate,50,5.0,3,0.9382882343550448,0.006063328902739,0.9275657719017094,0.9463004600464192,0.85,0.95,PASS,0.3727958817313153,0.1226696588032939,0.0,433928
B,lstm_gaussian,gaussian,id,pitch_rate,100,10.0,3,0.9151953470380194,0.0021830979127398,0.9097611350574714,0.9197810750073682,0.85,0.95,PASS,1.2077571635239828,0.3974579608633986,0.0,433928
B,lstm_gaussian,gaussian,id,pitch_rate,150,15.0,3,0.906580797475194,0.0009205945034005,0.903003311044798,0.910318924071618,0.85,0.95,PASS,1.8484202028200252,0.6084856022568692,0.0,433928
B,lstm_gaussian,gaussian,id,roll,10,1.0,3,0.9917914640436192,0.0028337579099485,0.9868868350279988,0.9947342759910108,0.85,0.95,FAIL,0.1339051024901903,0.0110524802987657,0.0,433928
B,lstm_gaussian,gaussian,id,roll,20,2.0,3,0.9906156363591708,0.0014989223380827,0.9877365854332448,0.9933525825228412,0.85,0.95,FAIL,0.1366414588430849,0.011275658936886,0.0,433928
B,lstm_gaussian,gaussian,id,roll,30,3.0,3,0.9821614967089104,0.003398234043569,0.9775589218611848,0.9879924545940172,0.85,0.95,FAIL,0.1550902384846181,0.0127951417011516,0.0,433928
B,lstm_gaussian,gaussian,id,roll,50,5.0,3,0.9531587705079084,0.0073294282683564,0.942737575523136,0.964352676926761,0.85,0.95,FAIL,0.2176214471152746,0.0179469658853083,0.0,433928
B,lstm_gaussian,gaussian,id,roll,100,10.0,3,0.9241721620493172,0.0012989853412763,0.9195998079686118,0.9293676203765104,0.85,0.95,PASS,0.8294067430763709,0.0683242997050132,0.0,433928
B,lstm_gaussian,gaussian,id,roll,150,15.0,3,0.9135060541310542,0.0044069107297598,0.9071914488468906,0.922206910366932,0.85,0.95,PASS,1.89619030511275,0.1560485801405891,0.0,433928
